OBJECTID,ZIP_CODE,PO_NAME,STATE,POPULATION,POP_SQMI,SQMI,SHAPE_Leng,SHAPE_Area,churn_by_zip_code — Sheet1_Total_Customers,churn_by_zip_code — Sheet1_Churned_Customers,churn_by_zip_code — Sheet1_Churn_Proportion
"33","90001",Los Angeles,CA,"59907",16970.819999999999709,3.530000000000000,44694.660694897153007,98280502.070388346910477,"5","2",0.4
"34","90002",Los Angeles,CA,"53573",17281.610000000000582,3.100000000000000,44705.841112437185075,86562437.386869102716446,"5","1",0.2
"35","90003",Los Angeles,CA,"71967",20503.419999999998254,3.510000000000000,52236.412174259341555,97919865.805146276950836,"5","1",0.2
"36","90004",Los Angeles,CA,"63987",20508.650000000001455,3.120000000000000,43950.392481040464190,86893584.759251415729523,"5","2",0.4
"37","90005",Los Angeles,CA,"41844",26823.080000000001746,1.560000000000000,43301.531459437544981,43528162.402137823402882,"5","3",0.6
"38","90006",Los Angeles,CA,"61184",32718.720000000001164,1.870000000000000,30272.576865096511028,52171333.606810949742794,"5","1",0.2
"39","90007",Los Angeles,CA,"45381",17937.150000000001455,2.530000000000000,55302.789823453400459,70469350.538303926587105,"5","2",0.4
"40","90008",Los Angeles,CA,"34600",9801.700000000000728,3.530000000000000,59629.627324880180822,98534901.479960903525352,"5","0",0
"41","90011",Los Angeles,CA,"110888",25433.029999999998836,4.360000000000001,44495.010253961299895,121550568.591907933354378,"5","1",0.2
"42","90012",Los Angeles,CA,"35157",9553.530000000000655,3.680000000000000,55612.295530112038250,102580904.536080330610275,"5","1",0.2
"43","90013",Los Angeles,CA,"15110",21898.549999999999272,0.690000000000000,22063.769076886477706,19288860.305764902383089,"5","2",0.4
"44","90014",Los Angeles,CA,"9183",32796.430000000000291,0.280000000000000,11938.934436906163683,7938350.418824426829815,"5","2",0.4
"45","90015",Los Angeles,CA,"20971",12557.489999999999782,1.670000000000000,35450.374204204657872,46648045.750725768506527,"5","1",0.2
"46","90016",Los Angeles,CA,"48816",13485.079999999999927,3.620000000000000,59399.833479631357477,100861033.794217765331268,"5","2",0.4
"47","90017",Los Angeles,CA,"29243",40058.900000000001455,0.730000000000000,20524.301015342494793,20235055.451839845627546,"5","2",0.4
"48","90018",Los Angeles,CA,"52217",16790.029999999998836,3.110000000000000,47005.525999437544669,86748032.815373659133911,"5","0",0
"49","90019",Los Angeles,CA,"67126",16781.500000000000000,4.000000000000000,59484.147857294163259,111587542.258567109704018,"5","1",0.2
"50","90020",Los Angeles,CA,"40985",36923.419999999998254,1.110000000000000,36293.191777319356333,30878068.031325642019510,"5","5",1
"51","90021",Los Angeles,CA,"3249",1600.490000000000009,2.030000000000000,34945.996226024202770,56479439.989000372588634,"5","0",0
